Title,Artist,File Path,City,Decade,ImageURL
100% Pure Love,Crystal Waters,Stockholm/StockholmMusic/90s Music/100PercentPureLove.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b273ce50d29ea1deb1fd4fc0830b
Would I Lie to You,Adie,Stockholm/StockholmMusic/90s Music/WouldILieToYou.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b2739cbeee278485da15900568b0
Magic O,Terrace,Stockholm/StockholmMusic/90s Music/MagicO.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b27332a126420e5089e8dcde8920
AmokK,666,Stockholm/StockholmMusic/90s Music/AmokK.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b273a418644e86cf5bf54d475346
Straight Up,Colonel Abrams,Stockholm/StockholmMusic/90s Music/StraightUp.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b2736880284dcd6577a39366ed21
Be My Lover,La Bouche,Stockholm/StockholmMusic/90s Music/BeMyLover.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b273938bdd1b09723e2531cd8687
Melodic Dreams,Arj Snoek,Stockholm/StockholmMusic/90s Music/MelodicDreams.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b27350685beb5c97744cc9b400bf
Tell Me Why,Supermode,Stockholm/StockholmMusic/00s Music/TellMeWhy.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273010a5f4abb5bc82685e30137
Hello,Martin Solveig,Stockholm/StockholmMusic/00s Music/Hello.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b2732ab64fd86c12f2ba7df9c446
Call On Me,Eric Prydz,Stockholm/StockholmMusic/00s Music/CallOnMe.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273d93502bd55966aa4683d3add
You Don’t Know Me,Jax Jones,Stockholm/StockholmMusic/00s Music/YouDontKnowMe.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273bb3c162ddba09bfba12199ea
Little Bit,Lykke Li,Stockholm/StockholmMusic/00s Music/LittleBit.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b27354ef13c30a024a7f1ba79efd
Feel It In My Bones,Tiësto,Stockholm/StockholmMusic/00s Music/FeelItInMyBones.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273151e8d6d039cc0e45960abd7
Enjoy It Now,Tortured Soul,Stockholm/StockholmMusic/00s Music/EnjoyItNow.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273a5f12cb334b19b422cae5485
Desire,Morris,Stockholm/StockholmMusic/00s Music/Desire.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b273c1972bc2266a9320a3c57d64
