Title,Artist,File Path,City,Decade
Talk To Me You’ll Understand,Ross from Friends,LosAngeles/LosAngelesMusic/10s Music/TalkToMe.mp3,Los Angeles,2010s
Bounce,Calvin Harris,LosAngeles/LosAngelesMusic/10s Music/Bounce.mp3,Los Angeles,2010s
Techno Disco Tool,Mella Dee,LosAngeles/LosAngelesMusic/10s Music/TechnoDiscoTool.mp3,Los Angeles,2010s
Go Bang,PNAU,LosAngeles/LosAngelesMusic/10s Music/GoBang.mp3,Los Angeles,2010s
Vision,Palace,LosAngeles/LosAngelesMusic/10s Music/Vision.mp3,Los Angeles,2010s
My Love,"Route 94, Jess Glynne",LosAngeles/LosAngelesMusic/10s Music/MyLove.mp3,Los Angeles,2010s
The Days,Chrystal,LosAngeles/LosAngelesMusic/10s Music/TheDays.mp3,Los Angeles,2010s
So Hooked On Your Lovin,Selace,LosAngeles/LosAngelesMusic/10s Music/SoHookedOnYourLovin.mp3,Los Angeles,2010s
I’ll House You,Jungle Brothers,NewYork/NewYorkMusic/80s Music/IllHouseYou.mp3,New York,1980s
Moody,ESG,NewYork/NewYorkMusic/80s Music/Moody.mp3,New York,1980s
Devotion,Ten City,NewYork/NewYorkMusic/80s Music/Devotion.mp3,New York,1980s
Bango (To the Batmobile),The Todd Terry Project,NewYork/NewYorkMusic/80s Music/BangoToTheBatmobile.mp3,New York,1980s
Deep In Vogue,Malcolm McLaren,NewYork/NewYorkMusic/80s Music/DeepInVogue.mp3,New York,1980s
Can You Party,Royal House,NewYork/NewYorkMusic/80s Music/CanYouParty.mp3,New York,1980s
Come into My House,Queen Latifah,NewYork/NewYorkMusic/80s Music/ComeIntoMyHouse.mp3,New York,1980s
You Used to Hold Me,Ralphi Rosario,NewYork/NewYorkMusic/80s Music/YouUsedToHoldMe.mp3,New York,1980s
Notice Me,Sandee,NewYork/NewYorkMusic/80s Music/NoticeMe.mp3,New York,1980s
Reachin’,Phase II,NewYork/NewYorkMusic/80s Music/Reachin.mp3,New York,1980s
Can You Feel It,Mr. Fingers,NewYork/NewYorkMusic/90s Music/CanYouFeelIt.mp3,New York,1990s
